text,sentiment,tokens
@Farrahri ah. I tweetd to myself. -.- my holiday sucks.  i have 1.5 years of concepts to remember for my mid years in a week. I'm dying.,0,"['@farrahri', 'ah', '.', 'i', 'tweetd', 'to', 'myself', '.', '-.-', 'my', 'holiday', 'sucks', '.', ' ', 'i', 'have', '1.5', 'years', 'of', 'concepts', 'to', 'remember', 'for', 'my', 'mid', 'years', 'in', 'a', 'week', '.', 'i', ""'m"", 'dying', '.']"
Going to be processing hundreds of pics tonite when home from yesterday's event.  ,1,"['going', 'to', 'be', 'processing', 'hundreds', 'of', 'pics', 'tonite', 'when', 'home', 'from', 'yesterday', ""'s"", 'event', '.', ' ']"
@dmbdork @spacebetween41  Thanks     GOOD LUCK!,1,"['@dmbdork', '@spacebetween41', ' ', 'thanks', '    ', 'good', 'luck', '!']"
"I'm at school, suppost to be doing maths!  lol",1,"['i', ""'m"", 'at', 'school', ',', 'suppost', 'to', 'be', 'doing', 'maths', '!', ' ', 'lol']"
@KitiaraTomsen my girl is in tears im making her stay home.  ,0,"['@kitiaratomsen', 'my', 'girl', 'is', 'in', 'tears', 'i', 'm', 'making', 'her', 'stay', 'home', '.', ' ']"
"Normally Fridays at work can't end soon enough. This time, not so much. ",0,"['normally', 'fridays', 'at', 'work', 'ca', ""n't"", 'end', 'soon', 'enough', '.', 'this', 'time', ',', 'not', 'so', 'much', '.']"
IS TWITTER FIXED! I went to bed a bit sad last night ,0,"['is', 'twitter', 'fixed', '!', 'i', 'went', 'to', 'bed', 'a', 'bit', 'sad', 'last', 'night']"
@campaignmonitor doesn't like my uploads today ,0,"['@campaignmonitor', 'does', ""n't"", 'like', 'my', 'uploads', 'today']"
one tree hill ,1,"['one', 'tree', 'hill']"
"@dougiemcfly DOUGIE, if you don't talk to me, I'll be forced go to your home and kiss you, hm. haha, you're bad, you never answer! BAD! ",0,"['@dougiemcfly', 'dougie', ',', 'if', 'you', 'do', ""n't"", 'talk', 'to', 'me', ',', 'i', ""'ll"", 'be', 'forced', 'go', 'to', 'your', 'home', 'and', 'kiss', 'you', ',', 'hm', '.', 'haha', ',', 'you', ""'re"", 'bad', ',', 'you', 'never', 'answer', '!', 'bad', '!']"
"@CindiCupcaking haha, I did - too funny ",1,"['@cindicupcaking', 'haha', ',', 'i', 'did', '-', 'too', 'funny']"
causes power failures in other people's apartments ,0,"['causes', 'power', 'failures', 'in', 'other', 'people', ""'s"", 'apartments']"
I am gutted to hear that Colour are splitting up ,0,"['i', 'am', 'gutted', 'to', 'hear', 'that', 'colour', 'are', 'splitting', 'up']"
@ShawnaCoronado Apartment living = pots and planters so last week when Montreal was hit with frost I brought all my babies inside. ,1,"['@shawnacoronado', 'apartment', 'living', '=', 'pots', 'and', 'planters', 'so', 'last', 'week', 'when', 'montreal', 'was', 'hit', 'with', 'frost', 'i', 'brought', 'all', 'my', 'babies', 'inside', '.']"
"At school, on the computer ",1,"['at', 'school', ',', 'on', 'the', 'computer']"
@MrBastounis Sure did. The forest isn't far from me though. Still got a few funny looks ,1,"['@mrbastounis', 'sure', 'did', '.', 'the', 'forest', 'is', ""n't"", 'far', 'from', 'me', 'though', '.', 'still', 'got', 'a', 'few', 'funny', 'looks']"
"@mileycyrus your movie isn't out until Friday my dear! no worries, we'll all be seeing that too!! ",1,"['@mileycyrus', 'your', 'movie', 'is', ""n't"", 'out', 'until', 'friday', 'my', 'dear', '!', 'no', 'worries', ',', 'we', ""'ll"", 'all', 'be', 'seeing', 'that', 'too', '!', '!']"
@twin_starr my work laptop crashed today-im not sure if i can get my files back....my whole year's worth of work ,0,"['@twin_starr', 'my', 'work', 'laptop', 'crashed', 'today', '-', 'im', 'not', 'sure', 'if', 'i', 'can', 'get', 'my', 'files', 'back', '....', 'my', 'whole', 'year', ""'s"", 'worth', 'of', 'work']"
i'm too small to give blood at today's work blood drive ,0,"['i', ""'m"", 'too', 'small', 'to', 'give', 'blood', 'at', 'today', ""'s"", 'work', 'blood', 'drive']"
HEy Worldz!  I iz back!!  And so is da damn clawz clippers.   I could have sworn my last hiding place was teh awesomes!,0,"['hey', 'worldz', '!', ' ', 'i', 'iz', 'back', '!', '!', ' ', 'and', 'so', 'is', 'da', 'damn', 'clawz', 'clippers', '.', '  ', 'i', 'could', 'have', 'sworn', 'my', 'last', 'hiding', 'place', 'was', 'teh', 'awesomes', '!']"
Jealous wish I was there ,0,"['jealous', 'wish', 'i', 'was', 'there']"
"It's a grey day here today, and my damn phone hasn't arrived.  Doubt if it will till tomorrow now ",0,"['it', ""'s"", 'a', 'grey', 'day', 'here', 'today', ',', 'and', 'my', 'damn', 'phone', 'has', ""n't"", 'arrived', '.', ' ', 'doubt', 'if', 'it', 'will', 'till', 'tomorrow', 'now']"
"this damm thing always ask what I am doing, well here I sit looking into the screen trying to think of somthing clever-----nothing yet ",0,"['this', 'damm', 'thing', 'always', 'ask', 'what', 'i', 'am', 'doing', ',', 'well', 'here', 'i', 'sit', 'looking', 'into', 'the', 'screen', 'trying', 'to', 'think', 'of', 'somthing', 'clever-----nothing', 'yet']"
"didn't know anythin bout you, all day long. miss ya ",0,"['did', ""n't"", 'know', 'anythin', 'bout', 'you', ',', 'all', 'day', 'long', '.', 'miss', 'ya']"
feeling sad..2morrow not a good day...but happy fathers day to all ur daddys ,0,"['feeling', 'sad', '..', '2morrow', 'not', 'a', 'good', 'day', '...', 'but', 'happy', 'fathers', 'day', 'to', 'all', 'ur', 'daddys']"
"@Headdshots ohhh, sounds fancy. ",1,"['@headdshots', 'ohhh', ',', 'sounds', 'fancy', '.']"
Omg I just looked in the mirror and realised the big dark patches under my eyes! I need to start going to bed earlier...! ,0,"['omg', 'i', 'just', 'looked', 'in', 'the', 'mirror', 'and', 'realised', 'the', 'big', 'dark', 'patches', 'under', 'my', 'eyes', '!', 'i', 'need', 'to', 'start', 'going', 'to', 'bed', 'earlier', '...', '!']"
